=> using pre-trained model 'resnet34'
Epoch: [0][56/259]	Time 1.905 (2.004)	Data 0.001 (0.025)	Loss 0.1466 (0.2143)	
Epoch: [0][57/259]	Time 1.955 (2.004)	Data 0.001 (0.025)	Loss 0.1484 (0.2132)	
Epoch: [0][58/259]	Time 1.890 (2.002)	Data 0.001 (0.025)	Loss 0.1550 (0.2122)	
Epoch: [0][59/259]	Time 1.969 (2.001)	Data 0.001 (0.024)	Loss 0.1669 (0.2114)	
Epoch: [0][60/259]	Time 1.846 (1.999)	Data 0.001 (0.024)	Loss 0.1608 (0.2106)	
Epoch: [0][61/259]	Time 1.825 (1.996)	Data 0.001 (0.023)	Loss 0.1583 (0.2098)	
Epoch: [0][62/259]	Time 1.926 (1.995)	Data 0.001 (0.023)	Loss 0.1395 (0.2086)	
Epoch: [0][63/259]	Time 1.902 (1.993)	Data 0.001 (0.023)	Loss 0.1590 (0.2079)	
Epoch: [0][64/259]	Time 1.915 (1.992)	Data 0.001 (0.022)	Loss 0.1636 (0.2072)	
Epoch: [0][65/259]	Time 1.864 (1.990)	Data 0.001 (0.022)	Loss 0.1621 (0.2065)	
Epoch: [0][66/259]	Time 1.906 (1.989)	Data 0.001 (0.022)	Loss 0.1561 (0.2057)	
Epoch: [0][67/259]	Time 1.912 (1.988)	Data 0.001 (0.021)	Loss 0.1498 (0.2049)	
Epoch: [0][68/259]	Time 1.834 (1.985)	Data 0.001 (0.021)	Loss 0.1587 (0.2043)	
Epoch: [0][69/259]	Time 1.902 (1.984)	Data 0.001 (0.021)	Loss 0.1566 (0.2036)	
Epoch: [0][70/259]	Time 1.844 (1.982)	Data 0.001 (0.021)	Loss 0.1619 (0.2030)	
Epoch: [0][71/259]	Time 1.941 (1.982)	Data 0.001 (0.020)	Loss 0.1517 (0.2023)	
Epoch: [0][72/259]	Time 1.921 (1.981)	Data 0.001 (0.020)	Loss 0.1553 (0.2016)	
